"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.494359400E-2,6.426816600E1,2.479843070E1,6.795613703E1,8.600000000E1,NaN,NaN,2.148303528E-2,5.195299911E1,5.851499557E0,0.000000000E0
2.550930988E0,6.426833973E1,2.479823601E1,9.635033565E1,1.143939819E2,8.999999762E-1,2.536999969E2,2.404094672E-2,9.818621635E0,1.269932175E1,1.400000000E1
3.566156717E0,6.426836269E1,2.479823928E1,9.057759458E1,1.086212158E2,9.800000191E-1,3.228999939E2,2.892585210E-2,5.560086727E0,8.447682381E0,2.600000000E1
3.754420259E0,6.426831951E1,2.479822065E1,8.525088888E1,1.032945557E2,1.019999981E0,3.182000122E2,2.996686093E-2,3.790092468E0,2.690343142E0,2.600000000E1
4.755023383E0,6.426831063E1,2.479821382E1,8.225887549E1,1.003025513E2,1.129999995E0,3.185000000E2,3.036106141E-2,3.790092468E0,2.500000000E0,3.200000000E1
5.754678747E0,6.426830954E1,2.479820605E1,7.980617749E1,9.784985352E1,1.100000024E0,3.183999939E2,3.122283286E-2,3.790092468E0,2.500000000E0,3.200000000E1
6.755091039E0,6.426831456E1,2.479819245E1,7.925393864E1,9.729760742E1,1.250000000E0,3.153999939E2,3.178744251E-2,3.790092468E0,2.500000000E0,3.200000000E1
7.754754944E0,6.426831832E1,2.479818459E1,7.836362396E1,9.640728760E1,1.149999976E0,3.161000061E2,3.276175228E-2,3.790092468E0,2.500000000E0,3.200000000E1
8.754371403E0,6.426832479E1,2.479817098E1,7.729637208E1,9.534002686E1,1.169999957E0,3.237000122E2,3.382223475E-2,3.790092468E0,2.500000000E0,3.200000000E1
9.754966975E0,6.426833250E1,2.479815805E1,7.656823281E1,9.461187744E1,1.230000019E0,3.287999878E2,3.485080375E-2,3.790092468E0,2.500000000E0,3.200000000E1
1.075438015E1,6.426834070E1,2.479814819E1,7.587305269E1,9.391668701E1,1.309999943E0,3.358999939E2,3.588698592E-2,3.790092468E0,2.500000000E0,3.000000000E1
1.175462374E1,6.426834972E1,2.479814280E1,7.541249207E1,9.345611572E1,1.309999943E0,3.417999878E2,3.691335953E-2,3.790092468E0,2.500000000E0,3.000000000E1
1.275504869E1,6.426835887E1,2.479814000E1,7.525149181E1,9.329510498E1,1.269999981E0,3.465000000E2,3.792452265E-2,3.790092468E0,2.500000000E0,3.000000000E1
1.375461140E1,6.426836796E1,2.479813941E1,7.518643848E1,9.323004150E1,1.250000000E0,3.517999878E2,3.890139879E-2,3.790092468E0,2.500000000E0,3.000000000E1
1.475437874E1,6.426837674E1,2.479813871E1,7.471006890E1,9.275366211E1,1.220000029E0,3.490000000E2,3.996165731E-2,3.790092468E0,2.500000000E0,2.900000000E1
1.575510760E1,6.426838610E1,2.479813452E1,7.423113693E1,9.227471924E1,1.230000019E0,3.437999878E2,4.103576469E-2,3.790092468E0,2.500000000E0,3.000000000E1
1.675484791E1,6.426839562E1,2.479813075E1,7.404059619E1,9.208416748E1,1.220000029E0,3.457000122E2,4.215063056E-2,3.790092468E0,2.500000000E0,3.000000000E1
1.775446254E1,6.426840558E1,2.479812810E1,7.416798792E1,9.221154785E1,1.330000043E0,3.480000000E2,4.301632903E-2,3.790092468E0,2.500000000E0,3.000000000E1
1.875466432E1,6.426841323E1,2.479813143E1,7.388674599E1,9.193029785E1,1.179999948E0,3.536000061E2,4.398569524E-2,3.790092468E0,2.500000000E0,3.000000000E1
1.975483546E1,6.426842192E1,2.479813303E1,7.378122564E1,9.182476807E1,1.200000048E0,3.552000122E2,4.499039128E-2,3.790092468E0,2.500000000E0,3.000000000E1
2.075448327E1,6.426843073E1,2.479812841E1,7.377043275E1,9.181396484E1,1.120000005E0,3.457000122E2,4.614010614E-2,3.790092468E0,2.500000000E0,3.000000000E1
2.175457176E1,6.426844089E1,2.479812399E1,7.357348411E1,9.161700439E1,1.210000038E0,3.483999939E2,4.737471758E-2,3.790092468E0,2.500000000E0,2.900000000E1
2.275462801E1,6.426845102E1,2.479811352E1,7.326179009E1,9.130529785E1,1.240000010E0,3.357999878E2,4.878085196E-2,3.790092468E0,2.500000000E0,3.000000000E1
2.375526879E1,6.426845965E1,2.479809223E1,7.276827202E1,9.081176758E1,1.289999962E0,3.133999939E2,5.016401034E-2,3.790092468E0,2.500000000E0,3.000000000E1
2.475512150E1,6.426846720E1,2.479806946E1,7.249606641E1,9.053955078E1,1.179999948E0,3.112000122E2,5.146145672E-2,3.790092468E0,2.500000000E0,3.000000000E1
2.575459306E1,6.426847400E1,2.479804762E1,7.258341796E1,9.062689209E1,1.200000048E0,3.097999878E2,5.275234515E-2,3.790092468E0,2.500000000E0,3.000000000E1
2.675484462E1,6.426847673E1,2.479802163E1,7.296153700E1,9.100500488E1,1.169999957E0,2.907000122E2,5.407627021E-2,3.790092468E0,2.500000000E0,3.000000000E1
2.775465181E1,6.426847723E1,2.479799423E1,7.309105755E1,9.113452148E1,1.210000038E0,2.748999939E2,5.536423286E-2,3.790092468E0,2.500000000E0,2.900000000E1
2.875510025E1,6.426847679E1,2.479796757E1,7.300622150E1,9.104968262E1,1.110000014E0,2.742000122E2,5.665051278E-2,3.790092468E0,2.500000000E0,2.900000000E1
2.975522348E1,6.426847587E1,2.479794101E1,7.323003969E1,9.127349854E1,1.149999976E0,2.628999939E2,5.802054782E-2,3.790092468E0,2.500000000E0,3.000000000E1
3.075504103E1,6.426847531E1,2.479791266E1,7.325653184E1,9.129998779E1,1.190000057E0,2.607000122E2,5.955191694E-2,3.790092468E0,2.500000000E0,3.000000000E1
3.175458618E1,6.426847241E1,2.479788165E1,7.357873706E1,9.162219238E1,1.299999952E0,2.518999939E2,6.101350950E-2,3.790092468E0,2.500000000E0,3.000000000E1
3.275485056E1,6.426846428E1,2.479785786E1,7.419518607E1,9.223864746E1,1.340000033E0,2.185000000E2,6.213114227E-2,3.790092468E0,2.500000000E0,3.000000000E1
3.375476358E1,6.426845605E1,2.479784457E1,7.460527382E1,9.264874268E1,1.200000048E0,2.011000061E2,6.327966774E-2,3.790092468E0,2.500000000E0,3.000000000E1
3.475460030E1,6.426844574E1,2.479784313E1,7.475418835E1,9.279766846E1,1.220000029E0,1.811999969E2,6.440219616E-2,3.790092468E0,2.500000000E0,3.000000000E1
3.575443379E1,6.426843567E1,2.479784477E1,7.515346898E1,9.319696045E1,1.149999976E0,1.798999939E2,6.554667464E-2,3.790092468E0,2.500000000E0,3.000000000E1
3.675499410E1,6.426842539E1,2.479784594E1,7.494129924E1,9.298480225E1,1.149999976E0,1.831000061E2,6.679785514E-2,3.790092468E0,2.529490709E0,3.000000000E1
3.775520650E1,6.426841421E1,2.479784887E1,7.515924303E1,9.320275879E1,1.200000048E0,1.733000031E2,6.798653685E-2,3.790092468E0,2.500000000E0,3.000000000E1
3.875521634E1,6.426840352E1,2.479784878E1,7.540111352E1,9.344464111E1,1.169999957E0,1.818000031E2,6.906085848E-2,3.790092468E0,2.635993004E0,3.000000000E1
3.975513894E1,6.426839439E1,2.479785606E1,7.411173482E1,9.215527344E1,1.049999952E0,1.601999969E2,7.026001966E-2,3.790092468E0,2.962685347E0,2.900000000E1
4.075474066E1,6.426838364E1,2.479785408E1,7.440414259E1,9.244769287E1,1.210000038E0,1.816999969E2,7.141644721E-2,3.790092468E0,2.963756800E0,3.000000000E1
4.175481071E1,6.426837347E1,2.479785909E1,7.412550521E1,9.216906738E1,1.169999957E0,1.631000061E2,7.250943196E-2,3.790092468E0,2.937051535E0,3.000000000E1
4.275604686E1,6.426836446E1,2.479786814E1,7.415027437E1,9.219384766E1,1.139999986E0,1.531999969E2,7.377239759E-2,3.790092468E0,3.400695562E0,3.000000000E1
4.375526446E1,6.426835366E1,2.479787624E1,7.416039324E1,9.220397949E1,1.210000038E0,1.705000000E2,7.509756357E-2,3.790092468E0,2.997613907E0,3.000000000E1
4.475495613E1,6.426834192E1,2.479788096E1,7.395420288E1,9.199780273E1,1.220000029E0,1.733000031E2,7.637435116E-2,3.790092468E0,2.992425203E0,3.000000000E1
4.575482550E1,6.426833129E1,2.479789096E1,7.332583293E1,9.136944580E1,1.149999976E0,1.725000000E2,7.766549782E-2,3.790092468E0,2.608522415E0,3.000000000E1
4.675605113E1,6.426832173E1,2.479790614E1,7.317134047E1,9.121496582E1,1.090000033E0,1.641000061E2,7.905595732E-2,3.790092468E0,2.591839075E0,3.000000000E1
4.775444066E1,6.426831405E1,2.479792887E1,7.292224467E1,9.096588135E1,1.200000048E0,1.366000061E2,8.056556769E-2,3.790092468E0,2.500000000E0,2.900000000E1
4.875453665E1,6.426830859E1,2.479795750E1,7.244231564E1,9.048596191E1,1.250000000E0,1.144000015E2,8.193887628E-2,3.790092468E0,2.500000000E0,3.100000000E1
4.975521441E1,6.426830553E1,2.479798506E1,7.164811938E1,8.969177246E1,1.059999943E0,1.011999969E2,8.339440560E-2,3.790092468E0,2.500000000E0,3.100000000E1
5.075448488E1,6.426830156E1,2.479801379E1,7.174125107E1,8.978491211E1,1.230000019E0,1.045999985E2,8.466973087E-2,3.790092468E0,2.500000000E0,3.100000000E1
5.175461722E1,6.426829968E1,2.479803985E1,7.150992251E1,8.955358887E1,1.100000024E0,9.769999695E1,8.600213392E-2,3.790092468E0,2.500000000E0,3.100000000E1
5.275450534E1,6.426829852E1,2.479806732E1,7.124960288E1,8.929327393E1,1.149999976E0,9.490000153E1,8.742627382E-2,3.790092468E0,2.500000000E0,3.100000000E1
5.375439524E1,6.426829689E1,2.479809658E1,7.125118436E1,8.929486084E1,1.169999957E0,9.569999695E1,8.877542483E-2,3.790092468E0,2.500000000E0,3.100000000E1
5.475485758E1,6.426829619E1,2.479812448E1,7.110036226E1,8.914404297E1,1.149999976E0,8.550000000E1,9.016882000E-2,3.790092468E0,2.500000000E0,3.100000000E1
5.575447862E1,6.426829486E1,2.479815318E1,7.125514238E1,8.929882812E1,1.139999986E0,8.180000305E1,9.137137732E-2,3.790092468E0,2.500000000E0,3.100000000E1
5.675518394E1,6.426829882E1,2.479817636E1,7.128059556E1,8.932427979E1,1.169999957E0,5.890000153E1,9.236609905E-2,3.790092468E0,2.500000000E0,3.100000000E1
5.775517237E1,6.426829830E1,2.479819693E1,7.153529214E1,8.957897949E1,8.899999857E-1,8.519999695E1,9.386630526E-2,3.790092468E0,2.500000000E0,3.100000000E1
5.875445909E1,6.426829031E1,2.479822197E1,7.200641055E1,9.005010986E1,1.330000043E0,1.230999985E2,9.510492616E-2,3.790092468E0,2.500000000E0,3.100000000E1
5.975467623E1,6.426828410E1,2.479824327E1,7.209416958E1,9.013787842E1,1.120000005E0,1.184000015E2,9.643792376E-2,3.790092468E0,2.500000000E0,3.100000000E1
6.075518435E1,6.426827920E1,2.479826847E1,7.205082607E1,9.009454346E1,1.090000033E0,1.083000031E2,9.777641694E-2,3.790092468E0,2.500000000E0,3.000000000E1
6.175485065E1,6.426827579E1,2.479829506E1,7.204880483E1,9.009252930E1,1.169999957E0,9.909999847E1,9.905228677E-2,3.790092468E0,2.500000000E0,3.000000000E1
6.275509425E1,6.426827422E1,2.479832124E1,7.191610942E1,8.995983887E1,1.129999995E0,9.300000000E1,1.003737042E-1,3.790092468E0,2.500000000E0,3.000000000E1
6.375447716E1,6.426827149E1,2.479834788E1,7.188271686E1,8.992645264E1,1.179999948E0,1.018000031E2,1.015102672E-1,3.790092468E0,2.500000000E0,3.000000000E1
6.475516612E1,6.426827049E1,2.479837131E1,7.206423140E1,9.010797119E1,1.110000014E0,9.059999847E1,1.026806081E-1,3.790092468E0,2.500000000E0,3.000000000E1
6.575504998E1,6.426826935E1,2.479839541E1,7.192506699E1,8.996881104E1,1.169999957E0,9.530000305E1,1.038904437E-1,3.790092468E0,2.500000000E0,3.100000000E1
6.675480211E1,6.426826997E1,2.479842043E1,7.163288928E1,8.967663574E1,1.149999976E0,8.609999847E1,1.050387119E-1,3.790092468E0,2.500000000E0,3.100000000E1
6.775438674E1,6.426827304E1,2.479844314E1,7.153498948E1,8.957873535E1,1.129999995E0,7.919999695E1,1.062347344E-1,3.790092468E0,2.500000000E0,3.100000000E1
6.875510591E1,6.426827544E1,2.479846729E1,7.148713759E1,8.953088379E1,1.129999995E0,8.309999847E1,1.076282737E-1,3.790092468E0,2.500000000E0,3.100000000E1
6.975458294E1,6.426827773E1,2.479849567E1,7.148640418E1,8.953015137E1,1.269999981E0,8.009999847E1,1.085555927E-1,3.790092468E0,2.500000000E0,3.100000000E1
7.075436617E1,6.426827748E1,2.479851487E1,7.152729508E1,8.957104492E1,7.500000000E-1,9.540000153E1,1.096570497E-1,3.790092468E0,2.500000000E0,3.100000000E1
7.175436445E1,6.426827551E1,2.479853723E1,7.149616220E1,8.953991699E1,1.100000024E0,1.013000031E2,1.115028309E-1,3.790092468E0,2.500000000E0,3.000000000E1
7.275508836E1,6.426825964E1,2.479854844E1,7.155327212E1,8.959704590E1,1.899999976E0,1.588999939E2,1.136142825E-1,3.790092468E0,2.500000000E0,3.000000000E1
7.375507601E1,6.426824664E1,2.479851656E1,7.097855463E1,8.902233887E1,2.029999971E0,2.168000031E2,1.154929875E-1,3.790092468E0,2.500000000E0,3.000000000E1
7.475483638E1,6.426824805E1,2.479847778E1,7.020536765E1,8.824914551E1,1.419999957E0,2.591000061E2,1.173404473E-1,3.790092468E0,2.500000000E0,3.000000000E1
7.575471278E1,6.426825202E1,2.479844062E1,7.023149970E1,8.827526855E1,1.379999995E0,2.672999878E2,1.189252995E-1,3.790092468E0,2.500000000E0,3.000000000E1
7.675445638E1,6.426825370E1,2.479840802E1,7.023400804E1,8.827777100E1,1.149999976E0,2.642999878E2,1.204348378E-1,3.790092468E0,2.500000000E0,3.000000000E1
7.775460034E1,6.426825460E1,2.479837682E1,7.023547775E1,8.827923584E1,1.230000019E0,2.673999939E2,1.218452365E-1,3.790092468E0,2.500000000E0,3.100000000E1
7.875486502E1,6.426825199E1,2.479834823E1,7.054083729E1,8.858459473E1,1.190000057E0,2.473000031E2,1.230656646E-1,3.790092468E0,2.500000000E0,3.000000000E1
7.975505205E1,6.426824363E1,2.479833185E1,7.055688230E1,8.860064697E1,1.139999986E0,2.063999939E2,1.243801628E-1,3.790092468E0,2.500000000E0,2.900000000E1
8.075478669E1,6.426823224E1,2.479832456E1,7.068205369E1,8.872583008E1,1.240000010E0,1.833999939E2,1.256197036E-1,3.790092468E0,2.500000000E0,3.000000000E1
8.175483716E1,6.426822134E1,2.479831918E1,7.102591434E1,8.906970215E1,1.049999952E0,1.770000000E2,NaN,3.790092468E0,2.500000000E0,3.100000000E1
